"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","295","Get exercises","LMS service","Sat May 02 21:37:58 UTC 2026","passed","Sat May 02 21:37:58 UTC 2026","Get entities","Exercises","",""
"","30","Create exercise","LMS service","Sat May 02 21:37:55 UTC 2026","passed","Sat May 02 21:37:55 UTC 2026","Create entity","Exercises","",""
"","27","Get courses","LMS service","Sat May 02 21:37:54 UTC 2026","passed","Sat May 02 21:37:54 UTC 2026","Get entities","Courses","",""
"","22","Update exercise","LMS service","Sat May 02 21:37:55 UTC 2026","passed","Sat May 02 21:37:55 UTC 2026","Update entity","Exercises","",""
"","22","Delete exercise","LMS service","Sat May 02 21:37:57 UTC 2026","passed","Sat May 02 21:37:57 UTC 2026","Delete entity","Exercises","",""
"","305","Create course","LMS service","Sat May 02 21:37:53 UTC 2026","passed","Sat May 02 21:37:53 UTC 2026","Create entity","Courses","",""
"","629","Delete file","LMS service","Sat May 02 21:38:01 UTC 2026","passed","Sat May 02 21:38:01 UTC 2026","Delete entity","Files","",""
"","13","Get file","LMS service","Sat May 02 21:37:59 UTC 2026","passed","Sat May 02 21:37:59 UTC 2026","Get entity","Files","",""
"","21","Create file","LMS service","Sat May 02 21:37:58 UTC 2026","passed","Sat May 02 21:37:58 UTC 2026","Create entity","Files","",""
"","319","Create user","LMS service","Sat May 02 21:38:01 UTC 2026","passed","Sat May 02 21:38:01 UTC 2026","Create entity","Users","",""
"","41","Update course","LMS service","Sat May 02 21:37:54 UTC 2026","passed","Sat May 02 21:37:54 UTC 2026","Update entity","Courses","",""
"","343","Create user","LMS service","Sat May 02 21:38:01 UTC 2026","passed","Sat May 02 21:38:01 UTC 2026","Create entity","Users","",""
"","19","Create file with empty filename","LMS service","Sat May 02 21:37:59 UTC 2026","passed","Sat May 02 21:37:59 UTC 2026","Validate entity","Files","",""
"","555","Login with correct email and password","LMS service","Sat May 02 21:37:53 UTC 2026","passed","Sat May 02 21:37:53 UTC 2026","Login","Authentication","",""
"","290","Create file with empty directory","LMS service","Sat May 02 21:38:00 UTC 2026","passed","Sat May 02 21:38:01 UTC 2026","Validate entity","Files","",""
"","22","Get file with incorrect file id","LMS service","Sat May 02 21:37:58 UTC 2026","passed","Sat May 02 21:37:58 UTC 2026","Validate entity","Files","",""
"","869","Create user","LMS service","Sat May 02 21:38:01 UTC 2026","passed","Sat May 02 21:38:02 UTC 2026","Create entity","Users","",""
"","10","Login with invalid email and password","LMS service","Sat May 02 21:37:53 UTC 2026","passed","Sat May 02 21:37:53 UTC 2026","Login","Authentication","",""
"","11","Get user me","LMS service","Sat May 02 21:38:03 UTC 2026","passed","Sat May 02 21:38:03 UTC 2026","Get entity","Users","",""
"","20","Get exercise","LMS service","Sat May 02 21:37:57 UTC 2026","passed","Sat May 02 21:37:57 UTC 2026","Get entity","Exercises","",""
